time_et,phase,side,amount,price_side,book_side,chainlink_side,result
Aug 25 13:15:05 ET,phase2,UP,2.5,UP,UP,UP,rejected_or_unsubmitted
Aug 25 13:15:18 ET,phase2,UP,2.5,UP,UP,UP,rejected_or_unsubmitted
Aug 25 13:15:32 ET,phase2,DOWN,2.5,DOWN,DOWN,UP,rejected_or_unsubmitted
Aug 25 13:15:50 ET,phase2,DOWN,2.5,DOWN,UP,UP,rejected_or_unsubmitted
Aug 25 13:16:03 ET,phase2,DOWN,2.5,DOWN,UP,UP,rejected_or_unsubmitted
